trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
0,2.580610122240084,112.2,,conv,edm,pixel,128,4,9.953474914472149e-05,0.9995,512,128,,,1218434,434,0.8216357231140137,patience,1.8984641932429392e-16,0.02557172036989752,0.3870915183360126,0.1868548151547058,0.032283573290604495
0,4.343279182494072,143.3,,unet,edm,pixel,64,8,7.066814659559484e-05,0.99,256,128,,,5030722,56,0.8299219012260437,patience,2.003288147307204e-16,0.044101716690116755,0.6514918773741109,0.27239325883059207,0.045207950911995295
1,163.17237079482243,59.6,,conv,vp,pixel,96,8,0.004396069451984071,0.999,512,64,,,1347746,26,0.94878751039505,patience,1.0203254784235714e-14,8.158618539741122,17.35126493262223,2.1904572608983717,2.2496299068128023
2,2.695784290101189,94.4,,conv,vp,pixel,16,5,0.0015810879308906078,0.99,256,64,,,25106,143,0.7307643890380859,patience,8.652540519532056e-16,0.04652191041406262,0.40436764351517834,0.26745912269758304,0.035940555039687364
0,2.6111150340473372,289.8,,dit,vp,pixel,64,3,0.00015447887766476703,0.99,512,64,2,2,242312,600,0.7360868453979492,max_epochs,8.833836590378899e-16,0.045494162361501056,0.39166725510710054,0.2985953536453099,0.04722311728024428
3,2.4490415360436475,78.8,,conv,vp,pixel,16,7,0.0018272243982535713,0.99,512,64,,,34386,205,0.729649007320404,patience,9.326577290469293e-16,0.03857844119856191,0.36735623040654714,0.24330348617451433,0.03366033091625565
0,4.910122682467227,419.3,,adm,vp,angle,64,6,0.0008192275535626253,0.9995,512,256,2,,5993538,227,0.7371589541435242,patience,1.1929633405977954e-15,0.09629918618414601,0.736518402370084,0.42767667521630104,0.29838788163428503
4,6.699764470874228,150.6,,conv,ve,pixel,96,8,0.0002732113581674256,0.9995,512,128,,,1353890,300,0.7375444769859314,patience,1.7145098361164558e-16,0.06972820519264444,1.0049646706311341,0.29504724606815236,0.2459641098401248
1,2.0970565306741613,385.5,,unet,ve,pixel,96,4,0.0038939971924836056,0.9995,128,64,,,9376034,216,0.7303480505943298,patience,3.0404561244150964e-16,0.044791669548037705,0.3145584796011242,0.29048147216539755,0.08177841560762755
5,2.5713333572818904,199.2,,conv,edm,pixel,32,6,0.00018395155964997257,0.9995,512,128,,,117346,600,0.8215526342391968,max_epochs,2.0934332045061018e-16,0.024225903960212625,0.3857000035922835,0.20200639717084604,0.027477943046158807
1,2.9177450585467946,499.9,,dit,ve,pixel,128,6,0.0005271730095734937,0.9995,128,128,4,2,1850248,185,0.7357695698738098,patience,2.236018127491533e-16,0.03338503148250349,0.4376617587820192,0.25587490856605555,0.025568250518718447
2,11.859794329818083,88.5,,dit,edm,angle,64,5,5.130414888870874e-05,0.9995,128,128,8,1,396546,19,0.9893835186958313,patience,1.0088054760237937e-16,0.5929897164909042,1.2256900023490258,0.8354752375359162,0.6790603982913948
1,15.809177751406676,580.1,,adm,ve,pixel,128,8,0.00027655036201356705,0.9999,512,128,2,,23742594,302,0.775305449962616,patience,1.2764889200492255e-16,0.3870585418634802,2.3713766627110013,0.7418819889655084,0.6031605926021271
2,2.722559965086418,100.2,,adm,vp,pixel,64,5,9.979295218869066e-05,0.99,512,64,2,,5007426,53,0.7324375510215759,patience,1.0931989504162966e-15,0.048841541840274116,0.40838399476296267,0.31045391286172086,0.12145045891037559
2,8.26127387461616,845.3,,unet,edm,angle,48,8,0.0002416398020743555,0.9999,256,256,,,2862962,326,0.847420334815979,patience,1.7399612976394954e-16,0.10076823358965004,1.2391910811924238,0.3309098200525622,0.10157611996062005
3,2.9116111339254234,581.3,,dit,edm,pixel,64,6,0.0003631938966664367,0.9995,256,128,8,2,470472,387,0.82939213514328,patience,1.9383609777929388e-16,0.036682195119893235,0.4367416700888135,0.2551145638562341,0.030727825966818743
3,2.143910445339571,159.1,,unet,edm,pixel,96,4,0.00048071737137023965,0.99,128,256,,,9449762,45,0.8210561275482178,patience,1.7521283670291532e-16,0.019250512541648,0.3215865668009356,0.19693709720656646,0.023352985207238823
3,10.528643290911345,571.2,,adm,ve,pixel,32,2,0.001137092087593981,0.9999,256,256,4,,1284130,340,0.7593010067939758,patience,1.746617207101843e-16,0.28191029744366447,1.5792964936367018,0.6409546885507343,0.19729241664121042
4,2.0988591590149177,214.8,,dit,vp,angle,64,4,0.001347583137763633,0.999,512,64,8,1,317762,333,0.7296358942985535,patience,9.421434617744455e-16,0.016943912275856787,0.3148288738522376,0.18849851430625866,0.019544459016439125
6,1.9685990919547804,1143.1,,conv,vp,angle,48,5,7.39189248261455e-05,0.9999,128,64,,,215090,600,0.7308597564697266,max_epochs,8.353571568445217e-16,0.0731794166738331,0.2699828679776789,0.3937198183909561,0.1627615715482712
5,19.182794718932726,170.3,,dit,vp,pixel,192,3,0.0008242583670279928,0.9999,512,128,4,2,2140040,275,0.850354790687561,patience,1.8357241847656312e-15,0.5505414462145606,2.877419207839909,0.9572247599602062,0.9970582153754479
4,9.89035720766597,524.2,,unet,ve,pixel,128,5,0.0006541757351052324,0.9999,128,64,,,16650626,209,0.7464559078216553,patience,1.5689656052928415e-16,0.09866012830705295,1.4835535811498954,0.3522580348874489,0.2425768527970847
6,2.470606314153021,257.4,,dit,edm,pixel,192,8,0.0008080262341646341,0.99,512,256,2,1,5499074,207,0.8254002928733826,patience,1.99029884866494e-16,0.02210781915628357,0.37059094712295315,0.20400856051274907,0.027635982241813625
5,1.7866066642152005,135.9,,unet,vp,angle,64,4,0.0006953280076112343,0.999,128,256,,,4225218,83,0.7286301851272583,patience,1.0769619687923002e-15,0.04675606855238623,0.2630552753009864,0.35732133284304013,0.05937184228217324
