trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
0,1.9813686166337194,243.8,,conv,edm,angle,32,6,0.0003154275433156673,0.99,256,64,,,115298,202,0.8232904672622681,patience,2.814817120464857e-16,0.06527118002111787,0.2972052924950579,0.3621555459401073,0.062021676653898475
1,8.67517410265468,431.8,,adm,edm,angle,128,6,0.00015018318995008376,0.9995,512,256,2,,23808130,170,0.838182270526886,patience,2.435731936465384e-16,0.08805461706972473,1.3012761153982018,0.323190432326323,0.05931596847415359
2,10.928111396959794,85.2,,dit,edm,pixel,256,8,0.0006029364364411105,0.999,256,128,2,1,9707778,16,0.9906810522079468,patience,1.750356261012387e-16,0.5464055698479897,1.3150162953918834,0.6778161974633214,0.39563528202499054
3,6.2105738618813815,59.2,,mlp,vp,pixel,128,6,0.0009854032669642952,0.99,512,256,,,264128,115,0.7703531384468079,patience,9.49517556038004e-16,0.20604102425082949,0.9315860792822072,0.5028648792562075,0.2094122931593473
4,3.4262432797462616,104.4,,unet,edm,pixel,48,8,0.00032616849299607576,0.99,512,256,,,2862962,68,0.824967086315155,patience,2.367215563969134e-16,0.03245271251757864,0.5139364919619392,0.22136659556106092,0.03672017245179063
6,2.192111303142162,212.8,,conv,edm,angle,32,6,0.0003154275433156673,0.99,256,64,,,115298,164,0.8234236240386963,patience,2.755771151586563e-16,0.06563655423529657,0.3288166954713243,0.3799271581317395,0.06702003478363266
5,9.423601879606823,306.5,,unet,vp,angle,64,7,6.080765567061205e-05,0.9995,512,64,,,5014338,190,0.7543327808380127,patience,1.6119079357949075e-15,0.14942689085002514,1.4135402819410232,0.5275789611272683,0.42214242405478647
10,11.734290776272598,58.3,,dit,edm,angle,256,4,0.00013675747451135988,0.9995,256,64,4,2,4954376,18,0.9898114800453186,patience,1.0354735601708952e-16,0.5867145388136299,1.220307260339292,0.8297687517590244,0.6707444028627874
11,1.9127073079679584,242.9,,dit,edm,pixel,192,7,0.0016510895427470987,0.99,256,256,8,1,4832642,115,0.8214638829231262,patience,2.0805850964701163e-16,0.01142106140695498,0.28690609619519375,0.16793756830872103,0.028389469656106194
8,8.978497759584457,445.5,,adm,edm,angle,128,6,0.00015018318995008376,0.9995,512,256,2,,23808130,166,0.8386402726173401,patience,1.9383821572851133e-16,0.09029022393097552,1.3467746639376685,0.31846986958880913,0.05812744243920688
9,2.1121945696463493,449.5,,conv,vp,angle,48,3,6.221276901849936e-05,0.999,256,256,,,141170,600,0.7329492568969727,max_epochs,1.0105133054023752e-15,0.08317654667831698,0.3094349952110935,0.42243891392926985,0.08850430074034402
13,10.875634326817035,82.8,,dit,edm,pixel,256,8,0.0006029364364411105,0.999,256,128,2,1,9707778,16,0.9906789064407349,patience,1.690054308716279e-16,0.5437817163408518,1.2138814077433977,0.6876117351855685,0.4164858336614324
15,6.07654343090422,57.5,,mlp,vp,pixel,128,6,0.0009854032669642952,0.99,512,256,,,264128,115,0.770746648311615,patience,9.797488803396608e-16,0.1986281851423879,0.911481514635633,0.4987948014442059,0.2150168774378951
14,3.7022167040922094,236.2,,conv,vp,pixel,48,4,0.0004891168927269617,0.9999,256,64,,,173522,600,0.7463235259056091,max_epochs,9.329913690509573e-16,0.18511083520461047,0.5280923957203896,0.5111925163310355,0.5732758356566636
7,2.4967891391387202,1066.0,,conv,vp,angle,16,5,0.00011924324522107364,0.9995,128,128,,,26130,600,0.7337579727172852,max_epochs,8.155006830811373e-16,0.0878795885849879,0.374518370870808,0.4502542505610414,0.07566834787185293
17,3.6463840697317083,198.4,,unet,vp,angle,96,4,0.0004869603638797881,0.999,512,256,,,9449762,138,0.7325900793075562,patience,1.2878094050521295e-15,0.06561074279412349,0.5469576104597562,0.37867770484824614,0.16019175709218245
19,10.871983452613687,66.9,,conv,edm,angle,128,6,8.003117008722219e-05,0.9995,256,128,,,1808770,19,0.9906696677207947,patience,1.5472408645269535e-16,0.5435991726306844,0.9756852705957967,0.7250716056351783,0.492352516770442
12,1.7140116703043722,640.3,,dit,ve,angle,256,6,0.0015889746693974398,0.9995,128,256,4,1,7373570,206,0.7286508083343506,patience,2.1986092202668905e-16,0.015957798753796215,0.2571017505456558,0.17556568554038085,0.06028075522122152
20,6.406574208751632,104.7,,mlp,edm,pixel,256,6,0.0007491194544911439,0.9995,512,128,,,921408,365,0.839180052280426,patience,2.1131438714151106e-16,0.06085261685469279,0.9609861313127448,0.26029054083635095,0.05886674728608125
23,2.525773706685003,198.3,,dit,vp,angle,256,2,5.1175090800619116e-05,0.99,256,64,8,2,2587400,222,0.734947919845581,patience,9.324703301275185e-16,0.03911026965120801,0.3788660560027504,0.2922472947069856,0.04524235429217779
18,2.902869305866834,423.7,,dit,ve,angle,64,8,0.003817325391238481,0.9995,256,64,4,2,615752,221,0.7321307063102722,patience,2.3965594944863526e-16,0.02907175185111255,0.4354303958800251,0.2465828279443085,0.09823193809571781
16,4.509837726102341,735.6,,uvit,vp,pixel,192,5,0.0008523313674600912,0.9999,256,128,8,1,2441704,600,0.772472083568573,max_epochs,7.127487982130935e-16,0.21573347132069332,0.6764756589153511,0.5790714107225328,0.3931148116235224
22,4.489711398709017,333.3,,uvit,edm,pixel,128,5,0.002749907119488049,0.9995,128,128,8,1,1095336,136,0.8707760572433472,patience,1.7826715736982706e-16,0.16377712126414545,0.6734567098063525,0.42483016609476415,0.15704972503079256
21,2.740440280925208,371.6,,adm,edm,angle,64,8,0.00023414419969036286,0.999,256,64,4,,5944386,99,0.8223053216934204,patience,1.883025906907931e-16,0.04250256072655478,0.4110660421387812,0.29410541547362606,0.03430944731142081
24,48.745668773132884,156.6,,unet,vp,angle,128,8,0.004104639554885559,0.9999,128,128,,,20031106,18,0.9887675046920776,patience,1.4113511867493853e-16,2.437283438656644,0.9997842973356585,1.9682227055639478,2.4213329175039924
27,2.0649175249818614,147.5,,conv,ve,pixel,64,5,0.00028028268334916195,0.999,128,256,,,392258,126,0.7288084030151367,patience,2.493299179183449e-16,0.02864315726989264,0.3097376287472792,0.21350581292171358,0.030281750508763212
29,6.001463054433823,84.7,,mlp,edm,angle,512,3,0.0009516716098821016,0.99,256,64,,,1937984,162,0.8374279141426086,patience,1.995875291988324e-16,0.07221873253166677,0.9002194581650734,0.29823450571016513,0.0467979279745936
26,10.350693354156073,241.4,,unet,edm,pixel,128,6,0.00012988667616486939,0.9995,512,64,,,19998338,138,0.8480265736579895,patience,2.158567660312592e-16,0.08128559584282424,1.552604003123411,0.27416727920357586,0.08007324226108342
28,2.7207339931527232,302.0,,dit,vp,pixel,192,5,0.001288298550313263,0.99,256,256,2,1,3499778,198,0.7383763790130615,patience,8.97797755105681e-16,0.053014282404570734,0.40811009897290845,0.28911739171099915,0.05132293132217589
33,2.073000067366556,135.7,,unet,edm,pixel,32,2,0.002199076292273256,0.99,256,256,,,1075298,88,0.8213533163070679,patience,1.8976237987385753e-16,0.020486418924403615,0.31095001010498335,0.21550024193018855,0.025731361503875137
35,2.382071356112889,97.6,,conv,edm,angle,32,2,0.002160241659148953,0.99,256,64,,,41314,107,0.8259907960891724,patience,2.866513197069079e-16,0.07436290705224069,0.3573107034169333,0.3902348573546627,0.07281986629952823
25,2.2315868858879155,612.6,,uvit,ve,angle,256,3,0.0011708609271753577,0.9995,128,256,8,1,2642472,403,0.7340554594993591,patience,3.043539596702786e-16,0.0476979262270989,0.3347380328831873,0.33971519485930857,0.04989190070188341
32,1.957181029080131,440.1,,dit,edm,pixel,64,6,0.0014702994496721402,0.999,256,256,8,1,479426,284,0.8225520253181458,patience,1.8213739536982646e-16,0.018976205737934126,0.29357715436201964,0.18304667020069346,0.018285190014769647
34,2.672820688464573,299.7,,uvit,edm,angle,192,7,7.958142369089214e-05,0.99,256,64,4,2,3390766,170,0.8248577117919922,patience,1.9869168846036185e-16,0.0363365343822315,0.40092310326968594,0.22291631339587115,0.025960098220581602
37,1.944292979470798,120.7,,conv,ve,pixel,64,5,0.0008607053954984227,0.999,128,256,,,392258,90,0.7282930612564087,patience,2.3823331550403624e-16,0.02892222639562303,0.2916439469206197,0.20789543948043465,0.043345815103674856
40,10.912901387546974,65.0,,dit,edm,pixel,64,6,0.002714117809508292,0.9999,256,128,8,1,471234,19,0.9906666874885559,patience,1.493164546326752e-16,0.5456450693773487,0.9611492402496251,0.7367513387019631,0.5119436582957431
41,10.747288141641306,61.8,,dit,edm,pixel,64,7,0.0018397912539562763,0.999,256,256,8,1,554114,16,0.9906712174415588,patience,1.6172167278141833e-16,0.5373644070820653,1.2110529195386595,0.6792349575566885,0.4067659387918842
39,2.1436073145596812,280.6,,unet,edm,pixel,32,7,0.0041907596933284,0.999,256,256,,,1285538,159,0.8204496502876282,patience,1.8390883865589437e-16,0.019263971294619875,0.3215410971839522,0.19365323246570817,0.02890109921348928
42,2.068255519952933,124.2,,conv,ve,pixel,96,4,0.0015919553937159625,0.999,128,128,,,689570,97,0.730155348777771,patience,2.295584126916747e-16,0.03540096333600484,0.31023832799293993,0.23688345641210554,0.055525514084755784
