# date        : 2026-09-22 21:40:07 KST
# git commit  : 98e22f8
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# arm list with per-arm notes (06_SPEC §5):
#   R3-bigamp     : BiG-AMP prior: i.i.d. CN(0,1/Nr) -- correlated prior not supported by Table III (structural limitation)
#   R4-llr        : same, Module B mode='llr' (the paper's 'LLR Turbo' ablation)
#   R4-scvamp     : channel estimation = classical APP-LMMSE (no LOO); only the Onsager extrinsic interface follows arXiv:2604.19061
#   R0-pilot      : 1-PASS arm -- reported at iteration index 0 ('R0-pilot (@1)'); 'pilot_C (@16)' is the
#                   SAME receiver's 16-iteration trajectory, printed for context only.
#   M-ours-*      : differ from R2-ours-G in Module H and nothing else (test M2); Module H, K and the clip
#                   rule are in the run header of conf/results/ and in the raw meta of each point.
# fit/training cost (GMM EM wall-clock) is a column of table A and is never left blank.
# aggregates KEEP failed and diverged blocks; where a subset mean is printed, the full-set mean is beside it.
# Stage C arms present in this run (10_SPEC §3b / §3c) -- the pre-registered Stage A/B verdicts are
# UNCHANGED by this file and M-ours-dscore stays BLOCKED in the pre-registered table:
#   M-ours-dscore-C-V0  : Stage C V0 (PRIMARY) -- learned prior at N', D-14 MATRIX site, pre-registered score wiring, unchanged
#   M-ours-dscore-C-V1  : Stage C V1 -- V0 + (F1) symmetric-PSD projection of the D-14 site (ScorePrior(psd_project=True))
#   M-ours-dscore-C-V4  : Stage C V4 -- D-14 matrix site REPLACED by the D-13 belief scalarisation (hsite=scalar, scal=belief); POST-HOC registered, observed in the H4 diagnostic BEFORE registration (10_SPEC §3c)
#   M-ours-dscore-C-V4b : Stage C V4b -- as V4 but scal=site instead of scal=belief (10_SPEC §3c, "동일하되 scal=site. 부수 보고용"); registered with V4, wired only on 2026-09-21 after an audit found it had been dropped
#   M-ours-bstar-scalar : Stage C CONTROL (10_SPEC §3c, MANDATORY) -- the b* GMM through V4's EXACT wiring: if scalarisation also helps the GMM, the gain belongs to the SITE, not to the learned prior
# 
# training budget (N_train, channel samples) of EVERY arm -- 10_SPEC A3.  The GMM arms and the learned arms are only equal-budget when their N_train below are EQUAL; read the numbers, not the arm names.  The GMM re-fit at N'=1.6e5 may not have finished when this table was written.
# per-arm training budget (arms absent from the raw files are simply not listed):
#   R0-pilot            : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R1-turbo            : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R2-ours-G           : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R3-bigamp           : N_train=0 -- i.i.d. CN(0,1/Nr) prior, fits nothing
#   R4-llr              : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R4-scvamp           : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-gmm32        : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-bstar        : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-dscore-C-V0  : N_train=160000  rung=D2SX160000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt  gate: NO GATE RECORD mentions d2sx_N160000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V1  : N_train=160000  rung=D2SX160000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt  gate: NO GATE RECORD mentions d2sx_N160000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4  : N_train=160000  rung=D2SX160000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt  gate: NO GATE RECORD mentions d2sx_N160000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4b : N_train=160000 -- unclassified arm, quoting the point's channel-set size
#   M-ours-bstar-scalar : N_train=160000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R5-genie            : N_train=n/a -- genie: the true H is given
#   dscore_status       : ABSENT -- no GATE-PASSING checkpoint (04_SPEC §5 gates GA-GD): no gate-passing checkpoint for D2; recorded PASS rows: none (searched conf/results/gate_D2.txt and LADDER.md)
#   stagec_ckpt         : /home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt
#   stagec_gate         : NO GATE RECORD mentions d2sx_N160000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   stagec_status       : built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none) | V1 (psd_project=True): built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N160000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
# cell C2: 8x4 T=16 Tp=4 prior S2  SNR grid ['-3', '+0', '+3', '+6', '+9', '+12', '+15'] dB  n=2560 per point  outer iterations=16  b*=kron
#   run params as recorded in the raw file: beta=0.7  dtype=complex128/float64  iters=16  n=40  seed=20260926  skip=0  snr=-3.0  t_in=5
# ====================================================================================================
# CLAIM TESTBED -- sparse specular; conditional Gaussianity broken (see T2d). Upper bound = genie only.
# ====================================================================================================

============================== TABLE A -- per-cell arm comparison (08_SPEC §1) ==============================
cell entry = BLER (95% Wilson CI) / BER / NMSE_H  at the arm's reporting iteration
reporting iteration: @16 for every arm except R0-pilot, which is the 1-PASS arm and is read @1;
'pilot_C (@16)' is the SAME receiver's 16-iteration trajectory, printed for context only.

--- cell C2 (8x4, T=16, Tp=4, K=42)  prior S2  testbed D2   n per SNR: [2560, 2560, 2560, 2560, 2560, 2560, 2560]   b* = kron
  arms absent from the raw files (see 01_RULES §6 -- BLOCKED / FAILED-VERIFICATION): ['M-ours-dscore']
  arm                              SNR -3 dB                            SNR +0 dB                            SNR +3 dB                            SNR +6 dB                            SNR +9 dB                            SNR +12 dB                           SNR +15 dB             
  R0-pilot (@1)       0.749(0.732,0.766) 2.3e-01 3.18e-01  0.388(0.369,0.407) 1.1e-01 1.92e-01  0.180(0.166,0.196) 5.0e-02 1.09e-01  0.100(0.089,0.113) 2.7e-02 5.83e-02  0.064(0.056,0.075) 1.7e-02 3.00e-02  0.047(0.040,0.056) 1.3e-02 1.53e-02  0.036(0.030,0.044) 9.1e-03 7.78e-03 
  pilot_C (@16)       0.477(0.457,0.496) 1.6e-01 3.18e-01  0.133(0.120,0.147) 4.7e-02 1.92e-01  0.041(0.034,0.049) 1.6e-02 1.09e-01  0.025(0.019,0.031) 9.2e-03 5.83e-02  0.014(0.010,0.019) 5.3e-03 3.00e-02  0.011(0.008,0.016) 4.2e-03 1.53e-02  0.005(0.003,0.009) 2.3e-03 7.78e-03 
  R1-turbo            0.543(0.523,0.562) 1.9e-01 2.01e-01  0.211(0.196,0.227) 7.2e-02 7.14e-02  0.080(0.070,0.091) 2.8e-02 3.55e-02  0.039(0.033,0.048) 1.4e-02 1.81e-02  0.024(0.019,0.031) 9.0e-03 9.00e-03  0.018(0.013,0.023) 7.0e-03 4.51e-03  0.008(0.005,0.013) 3.2e-03 2.27e-03 
  R2-ours-G           0.328(0.310,0.346) 1.2e-01 1.37e-01  0.102(0.091,0.114) 3.8e-02 6.81e-02  0.038(0.031,0.046) 1.4e-02 3.49e-02  0.022(0.017,0.029) 9.2e-03 1.80e-02  0.012(0.009,0.017) 4.9e-03 8.96e-03  0.011(0.008,0.016) 4.7e-03 4.50e-03  0.006(0.004,0.010) 2.5e-03 2.27e-03 
  R3-bigamp           0.543(0.524,0.563) 2.0e-01 3.58e-01  0.211(0.195,0.227) 8.0e-02 1.66e-01  0.080(0.070,0.091) 3.1e-02 7.40e-02  0.053(0.045,0.062) 2.2e-02 3.13e-02  0.051(0.043,0.060) 2.1e-02 1.29e-02  0.057(0.049,0.067) 2.5e-02 5.67e-03  0.055(0.047,0.065) 2.5e-02 2.62e-03 
  R4-llr              0.866(0.852,0.879) 5.0e-01 3.72e-01  0.832(0.817,0.846) 6.5e-01 1.41e+00  0.600(0.580,0.618) 5.2e-01 1.20e+00  0.399(0.380,0.418) 3.5e-01 2.23e-02  0.274(0.257,0.292) 2.4e-01 1.01e-02  0.194(0.179,0.210) 1.7e-01 4.84e-03  0.171(0.157,0.186) 1.5e-01 2.43e-03 
  R4-scvamp           0.610(0.591,0.628) 2.2e-01 2.33e-01  0.305(0.288,0.323) 1.1e-01 7.51e-02  0.149(0.136,0.163) 5.1e-02 3.65e-02  0.098(0.087,0.110) 3.3e-02 1.85e-02  0.070(0.060,0.080) 2.4e-02 9.16e-03  0.048(0.041,0.057) 1.8e-02 4.55e-03  0.037(0.030,0.045) 1.3e-02 2.29e-03 
  M-ours-gmm32        0.264(0.247,0.281) 9.8e-02 1.09e-01  0.084(0.073,0.095) 3.2e-02 5.58e-02  0.034(0.027,0.041) 1.3e-02 2.94e-02  0.015(0.011,0.021) 5.7e-03 1.53e-02  0.012(0.008,0.017) 5.0e-03 7.90e-03  0.009(0.006,0.014) 3.8e-03 4.05e-03  0.004(0.002,0.007) 1.6e-03 2.08e-03 
  M-ours-bstar        0.243(0.227,0.260) 9.2e-02 9.79e-02  0.072(0.062,0.083) 2.7e-02 5.01e-02  0.022(0.017,0.029) 8.7e-03 2.67e-02  0.011(0.008,0.016) 4.3e-03 1.41e-02  0.007(0.004,0.011) 2.6e-03 7.36e-03  0.006(0.004,0.010) 2.2e-03 3.86e-03  0.003(0.002,0.006) 1.4e-03 1.96e-03 
  M-ours-dscore-C-V0  0.593(0.573,0.611) 2.6e-01 1.36e-01  0.845(0.830,0.858) 3.9e-01 2.26e-01  0.953(0.944,0.960) 4.5e-01 1.12e+00  0.948(0.939,0.956) 4.5e-01 2.24e+00  0.909(0.897,0.919) 4.2e-01 1.47e+00  0.817(0.801,0.831) 3.7e-01 6.93e-01  0.446(0.427,0.466) 1.9e-01 1.84e-01 
  M-ours-dscore-C-V1  0.145(0.132,0.159) 5.3e-02 5.47e-02  0.034(0.028,0.042) 1.2e-02 2.57e-02  0.011(0.008,0.016) 4.1e-03 1.30e-02  0.006(0.004,0.010) 2.2e-03 6.43e-03  0.003(0.001,0.006) 1.0e-03 3.12e-03  0.002(0.001,0.005) 4.5e-04 1.64e-03  0.001(0.000,0.003) 3.1e-04 8.83e-04 
  M-ours-dscore-C-V4  0.154(0.140,0.168) 5.4e-02 5.23e-02  0.037(0.031,0.046) 1.3e-02 2.34e-02  0.008(0.005,0.013) 2.7e-03 1.13e-02  0.006(0.004,0.010) 2.0e-03 5.65e-03  0.003(0.002,0.006) 1.0e-03 2.88e-03  0.002(0.001,0.005) 8.1e-04 1.54e-03  0.002(0.001,0.004) 3.6e-04 8.46e-04 
  M-ours-dscore-C-V4b 0.161(0.148,0.176) 5.9e-02 5.63e-02  0.039(0.033,0.048) 1.4e-02 2.47e-02  0.010(0.007,0.014) 4.0e-03 1.20e-02  0.006(0.004,0.010) 2.1e-03 6.01e-03  0.003(0.001,0.006) 9.0e-04 3.02e-03  0.002(0.001,0.005) 6.5e-04 1.60e-03  0.002(0.001,0.005) 4.6e-04 8.75e-04 
  M-ours-bstar-scalar 0.257(0.240,0.274) 9.6e-02 9.91e-02  0.077(0.068,0.088) 2.8e-02 5.00e-02  0.023(0.018,0.029) 8.5e-03 2.63e-02  0.017(0.012,0.023) 5.9e-03 1.40e-02  0.007(0.004,0.011) 2.6e-03 7.23e-03  0.009(0.006,0.013) 3.5e-03 3.77e-03  0.003(0.002,0.006) 1.2e-03 1.94e-03 
  R5-genie              0.034(0.028,0.042) 1.1e-02 nan       0.010(0.007,0.015) 3.8e-03 nan       0.005(0.003,0.008) 1.5e-03 nan       0.004(0.002,0.007) 1.3e-03 nan       0.001(0.000,0.003) 2.8e-04 nan       0.001(0.000,0.003) 1.7e-04 nan       0.001(0.000,0.003) 3.9e-04 nan    

  per-point detail rows (exp_0921 convention M-1: BLER@1/@2/@8/@16, BER@16, NMSE median all / success-only, rescued/lost 2->16, tauL@1, failure-class %):
   SNR -3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.749 0.630 0.490 0.477 [0.457,0.496]  BER@16=1.64e-01  NMSE med@1/@16=0.3183/0.3183 ok=0.3021  resc/lost(2->16)=397/5  tauL@1=1.040  fail% stuck/cyc2/other=30.6/1.4/15.6
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.749 0.602 0.546 0.543 [0.523,0.562]  BER@16=1.91e-01  NMSE med@1/@16=0.3183/0.2011 ok=0.1175  resc/lost(2->16)=153/0  tauL@1=1.040  fail% stuck/cyc2/other=52.6/0.0/1.6
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.749 0.548 0.364 0.328 [0.310,0.346]  BER@16=1.25e-01  NMSE med@1/@16=0.3183/0.1368 ok=0.1189  resc/lost(2->16)=566/1  tauL@1=1.040  fail% stuck/cyc2/other=8.6/6.1/18.2
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.801 0.665 0.557 0.543 [0.524,0.563]  BER@16=2.01e-01  NMSE med@1/@16=0.4004/0.3576 ok=0.2954  resc/lost(2->16)=317/6  tauL@1=1.705  fail% stuck/cyc2/other=41.9/3.4/9.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.760 0.658 0.866 0.866 [0.852,0.879]  BER@16=4.98e-01  NMSE med@1/@16=0.2328/0.3724 ok=0.1196  resc/lost(2->16)=45/577  tauL@1=0.703  fail% stuck/cyc2/other=41.0/43.5/2.1
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.760 0.646 0.611 0.610 [0.591,0.628]  BER@16=2.16e-01  NMSE med@1/@16=0.2328/0.2331 ok=0.1180  resc/lost(2->16)=94/0  tauL@1=0.703  fail% stuck/cyc2/other=58.9/0.5/1.5
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.718 0.482 0.293 0.264 [0.247,0.281]  BER@16=9.80e-02  NMSE med@1/@16=0.2607/0.1093 ok=0.0965  resc/lost(2->16)=560/0  tauL@1=1.180  fail% stuck/cyc2/other=6.7/4.0/15.7
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.722 0.466 0.271 0.243 [0.227,0.260]  BER@16=9.20e-02  NMSE med@1/@16=0.2338/0.0979 ok=0.0870  resc/lost(2->16)=571/2  tauL@1=1.387  fail% stuck/cyc2/other=7.9/3.0/13.4
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.598 0.635 0.624 0.593 [0.573,0.611]  BER@16=2.64e-01  NMSE med@1/@16=0.1786/0.1357 ok=0.0627  resc/lost(2->16)=289/180  tauL@1=1.208  fail% stuck/cyc2/other=2.6/3.8/52.9
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.574 0.320 0.169 0.145 [0.132,0.159]  BER@16=5.34e-02  NMSE med@1/@16=0.1688/0.0547 ok=0.0495  resc/lost(2->16)=449/0  tauL@1=1.236  fail% stuck/cyc2/other=4.4/1.5/8.6
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.569 0.319 0.175 0.154 [0.140,0.168]  BER@16=5.44e-02  NMSE med@1/@16=0.1669/0.0523 ok=0.0467  resc/lost(2->16)=424/1  tauL@1=1.164  fail% stuck/cyc2/other=6.1/0.9/8.4
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.569 0.328 0.185 0.161 [0.148,0.176]  BER@16=5.85e-02  NMSE med@1/@16=0.1669/0.0563 ok=0.0504  resc/lost(2->16)=428/2  tauL@1=1.164  fail% stuck/cyc2/other=6.0/1.1/9.0
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.714 0.463 0.282 0.257 [0.240,0.274]  BER@16=9.59e-02  NMSE med@1/@16=0.2334/0.0991 ok=0.0880  resc/lost(2->16)=529/1  tauL@1=1.264  fail% stuck/cyc2/other=10.4/2.6/12.7
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.225 0.102 0.043 0.034 [0.028,0.042]  BER@16=1.14e-02  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=175/0  tauL@1=0.771  fail% stuck/cyc2/other=1.4/0.2/1.8
   SNR +0 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.388 0.242 0.148 0.133 [0.120,0.147]  BER@16=4.72e-02  NMSE med@1/@16=0.1924/0.1924 ok=0.1909  resc/lost(2->16)=280/0  tauL@1=0.623  fail% stuck/cyc2/other=2.9/1.1/9.2
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.388 0.266 0.215 0.211 [0.196,0.227]  BER@16=7.21e-02  NMSE med@1/@16=0.1924/0.0714 ok=0.0657  resc/lost(2->16)=142/0  tauL@1=0.623  fail% stuck/cyc2/other=19.4/0.0/1.7
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.388 0.216 0.117 0.102 [0.091,0.114]  BER@16=3.81e-02  NMSE med@1/@16=0.1924/0.0681 ok=0.0659  resc/lost(2->16)=293/0  tauL@1=0.623  fail% stuck/cyc2/other=1.9/1.8/6.5
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.411 0.286 0.218 0.211 [0.195,0.227]  BER@16=8.04e-02  NMSE med@1/@16=0.2367/0.1655 ok=0.1570  resc/lost(2->16)=194/0  tauL@1=0.576  fail% stuck/cyc2/other=9.7/1.5/9.8
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.443 0.339 0.834 0.832 [0.817,0.846]  BER@16=6.46e-01  NMSE med@1/@16=0.0878/1.4139 ok=0.0644  resc/lost(2->16)=44/1306  tauL@1=0.409  fail% stuck/cyc2/other=11.1/68.1/4.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.443 0.339 0.306 0.305 [0.288,0.323]  BER@16=1.05e-01  NMSE med@1/@16=0.0878/0.0751 ok=0.0656  resc/lost(2->16)=86/0  tauL@1=0.409  fail% stuck/cyc2/other=28.0/1.0/1.5
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.357 0.192 0.099 0.084 [0.073,0.095]  BER@16=3.18e-02  NMSE med@1/@16=0.1553/0.0558 ok=0.0540  resc/lost(2->16)=278/0  tauL@1=0.722  fail% stuck/cyc2/other=2.0/0.9/5.5
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.349 0.171 0.086 0.072 [0.062,0.083]  BER@16=2.65e-02  NMSE med@1/@16=0.1370/0.0501 ok=0.0486  resc/lost(2->16)=253/0  tauL@1=0.866  fail% stuck/cyc2/other=1.7/0.8/4.6
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.366 0.811 0.877 0.845 [0.830,0.858]  BER@16=3.90e-01  NMSE med@1/@16=0.1108/0.2256 ok=0.0542  resc/lost(2->16)=144/230  tauL@1=0.665  fail% stuck/cyc2/other=0.3/5.5/78.6
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.243 0.106 0.042 0.034 [0.028,0.042]  BER@16=1.21e-02  NMSE med@1/@16=0.0896/0.0257 ok=0.0250  resc/lost(2->16)=183/0  tauL@1=0.770  fail% stuck/cyc2/other=1.2/0.3/2.0
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.238 0.107 0.044 0.037 [0.031,0.046]  BER@16=1.33e-02  NMSE med@1/@16=0.0870/0.0234 ok=0.0227  resc/lost(2->16)=179/0  tauL@1=0.724  fail% stuck/cyc2/other=1.6/0.5/1.6
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.238 0.110 0.046 0.039 [0.033,0.048]  BER@16=1.36e-02  NMSE med@1/@16=0.0870/0.0247 ok=0.0241  resc/lost(2->16)=180/0  tauL@1=0.724  fail% stuck/cyc2/other=1.6/0.3/2.1
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.343 0.175 0.091 0.077 [0.068,0.088]  BER@16=2.76e-02  NMSE med@1/@16=0.1381/0.0500 ok=0.0486  resc/lost(2->16)=250/0  tauL@1=0.783  fail% stuck/cyc2/other=3.6/0.5/3.6
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.095 0.038 0.013 0.010 [0.007,0.015]  BER@16=3.84e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=72/0  tauL@1=0.527  fail% stuck/cyc2/other=0.4/0.1/0.6
   SNR +3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.180 0.100 0.048 0.041 [0.034,0.049]  BER@16=1.57e-02  NMSE med@1/@16=0.1090/0.1090 ok=0.1089  resc/lost(2->16)=151/0  tauL@1=0.399  fail% stuck/cyc2/other=0.9/0.4/2.9
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.180 0.105 0.082 0.080 [0.070,0.091]  BER@16=2.83e-02  NMSE med@1/@16=0.1090/0.0355 ok=0.0345  resc/lost(2->16)=65/0  tauL@1=0.399  fail% stuck/cyc2/other=6.5/0.0/1.5
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.180 0.088 0.046 0.038 [0.031,0.046]  BER@16=1.40e-02  NMSE med@1/@16=0.1090/0.0349 ok=0.0345  resc/lost(2->16)=128/0  tauL@1=0.399  fail% stuck/cyc2/other=0.9/0.4/2.5
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.196 0.133 0.091 0.080 [0.070,0.091]  BER@16=3.13e-02  NMSE med@1/@16=0.1255/0.0740 ok=0.0725  resc/lost(2->16)=135/0  tauL@1=0.277  fail% stuck/cyc2/other=2.3/0.6/5.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.241 0.155 0.601 0.600 [0.580,0.618]  BER@16=5.18e-01  NMSE med@1/@16=0.0388/1.2030 ok=0.0349  resc/lost(2->16)=44/1181  tauL@1=0.258  fail% stuck/cyc2/other=2.1/54.9/3.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.241 0.170 0.150 0.149 [0.136,0.163]  BER@16=5.07e-02  NMSE med@1/@16=0.0388/0.0365 ok=0.0346  resc/lost(2->16)=55/1  tauL@1=0.258  fail% stuck/cyc2/other=12.7/1.0/1.2
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.154 0.069 0.040 0.034 [0.027,0.041]  BER@16=1.28e-02  NMSE med@1/@16=0.0889/0.0294 ok=0.0289  resc/lost(2->16)=91/0  tauL@1=0.467  fail% stuck/cyc2/other=0.6/0.5/2.3
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.135 0.053 0.024 0.022 [0.017,0.029]  BER@16=8.68e-03  NMSE med@1/@16=0.0780/0.0267 ok=0.0263  resc/lost(2->16)=79/0  tauL@1=0.545  fail% stuck/cyc2/other=0.7/0.3/1.2
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.464 0.938 0.980 0.953 [0.944,0.960]  BER@16=4.45e-01  NMSE med@1/@16=0.0912/1.1223 ok=0.2483  resc/lost(2->16)=90/127  tauL@1=0.273  fail% stuck/cyc2/other=0.2/7.3/87.7
