# date        : 2026-09-25 06:36:08 KST
# git commit  : 36b12bf6
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# arm list with per-arm notes (06_SPEC §5):
#   R3-bigamp     : BiG-AMP prior: i.i.d. CN(0,1/Nr) -- correlated prior not supported by Table III (structural limitation)
#   R4-llr        : same, Module B mode='llr' (the paper's 'LLR Turbo' ablation)
#   R4-scvamp     : channel estimation = classical APP-LMMSE (no LOO); only the Onsager extrinsic interface follows arXiv:2604.19061
#   R0-pilot      : 1-PASS arm -- reported at iteration index 0 ('R0-pilot (@1)'); 'pilot_C (@16)' is the
#                   SAME receiver's 16-iteration trajectory, printed for context only.
#   M-ours-*      : differ from R2-ours-G in Module H and nothing else (test M2); Module H, K and the clip
#                   rule are in the run header of conf/results/ and in the raw meta of each point.
# fit/training cost (GMM EM wall-clock) is a column of table A and is never left blank.
# aggregates KEEP failed and diverged blocks; where a subset mean is printed, the full-set mean is beside it.
# Stage C arms present in this run (10_SPEC §3b / §3c) -- the pre-registered Stage A/B verdicts are
# UNCHANGED by this file and M-ours-dscore stays BLOCKED in the pre-registered table:
#   M-ours-dscore-C-V0  : Stage C V0 (PRIMARY) -- learned prior at N', D-14 MATRIX site, pre-registered score wiring, unchanged
#   M-ours-dscore-C-V1  : Stage C V1 -- V0 + (F1) symmetric-PSD projection of the D-14 site (ScorePrior(psd_project=True))
#   M-ours-dscore-C-V4  : Stage C V4 -- D-14 matrix site REPLACED by the D-13 belief scalarisation (hsite=scalar, scal=belief); POST-HOC registered, observed in the H4 diagnostic BEFORE registration (10_SPEC §3c)
#   M-ours-dscore-C-V4b : Stage C V4b -- as V4 but scal=site instead of scal=belief (10_SPEC §3c, "동일하되 scal=site. 부수 보고용"); registered with V4, wired only on 2026-09-21 after an audit found it had been dropped
#   M-ours-bstar-scalar : Stage C CONTROL (10_SPEC §3c, MANDATORY) -- the b* GMM through V4's EXACT wiring: if scalarisation also helps the GMM, the gain belongs to the SITE, not to the learned prior
# 
# training budget (N_train, channel samples) of EVERY arm -- 10_SPEC A3.  The GMM arms and the learned arms are only equal-budget when their N_train below are EQUAL; read the numbers, not the arm names.  The GMM re-fit at N'=1.6e5 may not have finished when this table was written.
# per-arm training budget (arms absent from the raw files are simply not listed):
#   R0-pilot            : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R1-turbo            : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R2-ours-G           : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R3-bigamp           : N_train=0 -- i.i.d. CN(0,1/Nr) prior, fits nothing
#   R4-llr              : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R4-scvamp           : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-gmm32        : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-bstar        : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-dscore-C-V0  : N_train=320000  rung=D2SX320000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt  gate: NO GATE RECORD mentions d2sx_N320000_a1_best.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V1  : N_train=320000  rung=D2SX320000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt  gate: NO GATE RECORD mentions d2sx_N320000_a1_best.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4  : N_train=320000  rung=D2SX320000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt  gate: NO GATE RECORD mentions d2sx_N320000_a1_best.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4b : N_train=320000 -- unclassified arm, quoting the point's channel-set size
#   M-ours-bstar-scalar : N_train=320000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R5-genie            : N_train=n/a -- genie: the true H is given
#   dscore_status       : ABSENT -- no GATE-PASSING checkpoint (04_SPEC §5 gates GA-GD): no gate-passing checkpoint for D2; recorded PASS rows: none (searched conf/results/gate_D2.txt and LADDER.md)
#   stagec_ckpt         : /home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt
#   stagec_gate         : NO GATE RECORD mentions d2sx_N320000_a1_best.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   stagec_status       : built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none) | V1 (psd_project=True): built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N320000_a1_best.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
#   stagec_ckpt_id      : sha256[:16]=035744cbe955984d epoch=966 best_epoch=966 role=best 8x4
# cell C2: 8x4 T=16 Tp=4 prior S2  SNR grid ['-3', '+0', '+3', '+6', '+9', '+12', '+15'] dB  n=2560 per point  outer iterations=16  b*=kron (kron K=4096)
#   run params as recorded in the raw file: beta=0.7  dtype=complex128/float64  iters=16  n=40  seed=20260926  skip=0  snr=-3.0  t_in=5
# ====================================================================================================
# CLAIM TESTBED -- sparse specular; conditional Gaussianity broken (see T2d). Reference = known-channel receiver (R5-genie: same EP detector + BCJR, true H); not a bound.
# ====================================================================================================

============================== TABLE A -- per-cell arm comparison (08_SPEC §1) ==============================
cell entry = BLER (95% Wilson CI) / BER / NMSE_H  at the arm's reporting iteration
reporting iteration: @16 for every arm except R0-pilot, which is the 1-PASS arm and is read @1;
'pilot_C (@16)' is the SAME receiver's 16-iteration trajectory, printed for context only.

--- cell C2 (8x4, T=16, Tp=4, K=42)  prior S2  testbed D2   n per SNR: [2560, 2560, 2560, 2560, 2560, 2560, 2560]   b* = kron
  arms absent from the raw files (see 01_RULES §6 -- BLOCKED / FAILED-VERIFICATION): ['M-ours-dscore']
  arm                              SNR -3 dB                            SNR +0 dB                            SNR +3 dB                            SNR +6 dB                            SNR +9 dB                            SNR +12 dB                           SNR +15 dB             
  R0-pilot (@1)       0.750(0.733,0.766) 2.3e-01 3.18e-01  0.388(0.369,0.407) 1.1e-01 1.92e-01  0.180(0.166,0.195) 5.0e-02 1.09e-01  0.100(0.089,0.113) 2.7e-02 5.83e-02  0.064(0.056,0.075) 1.7e-02 3.00e-02  0.047(0.039,0.056) 1.3e-02 1.53e-02  0.036(0.030,0.044) 9.1e-03 7.78e-03 
  pilot_C (@16)       0.477(0.458,0.496) 1.6e-01 3.18e-01  0.132(0.119,0.146) 4.7e-02 1.92e-01  0.043(0.036,0.052) 1.7e-02 1.09e-01  0.026(0.020,0.033) 9.9e-03 5.83e-02  0.014(0.011,0.020) 5.4e-03 3.00e-02  0.011(0.008,0.016) 4.2e-03 1.53e-02  0.005(0.003,0.009) 2.3e-03 7.78e-03 
  R1-turbo            0.544(0.524,0.563) 1.9e-01 2.01e-01  0.212(0.197,0.229) 7.2e-02 7.14e-02  0.080(0.070,0.091) 2.8e-02 3.55e-02  0.040(0.033,0.049) 1.5e-02 1.81e-02  0.025(0.019,0.031) 9.5e-03 9.01e-03  0.017(0.012,0.023) 6.6e-03 4.50e-03  0.008(0.005,0.013) 3.3e-03 2.27e-03 
  R2-ours-G           0.327(0.309,0.346) 1.2e-01 1.36e-01  0.102(0.091,0.114) 3.9e-02 6.81e-02  0.040(0.033,0.048) 1.5e-02 3.50e-02  0.023(0.018,0.030) 1.0e-02 1.80e-02  0.011(0.008,0.016) 4.6e-03 8.96e-03  0.012(0.008,0.017) 5.2e-03 4.50e-03  0.006(0.004,0.010) 2.7e-03 2.27e-03 
  R3-bigamp           0.543(0.524,0.563) 2.0e-01 3.58e-01  0.211(0.195,0.227) 8.0e-02 1.66e-01  0.080(0.070,0.091) 3.1e-02 7.40e-02  0.053(0.045,0.062) 2.2e-02 3.13e-02  0.051(0.043,0.060) 2.1e-02 1.29e-02  0.057(0.049,0.067) 2.5e-02 5.67e-03  0.055(0.047,0.065) 2.5e-02 2.62e-03 
  R4-llr              0.867(0.853,0.879) 5.0e-01 3.70e-01  0.836(0.821,0.849) 6.5e-01 1.41e+00  0.596(0.577,0.615) 5.2e-01 1.18e+00  0.394(0.375,0.413) 3.4e-01 2.22e-02  0.273(0.256,0.291) 2.4e-01 1.01e-02  0.197(0.182,0.213) 1.7e-01 4.85e-03  0.170(0.156,0.185) 1.5e-01 2.42e-03 
  R4-scvamp           0.607(0.588,0.626) 2.2e-01 2.33e-01  0.305(0.288,0.323) 1.1e-01 7.50e-02  0.146(0.133,0.161) 5.1e-02 3.64e-02  0.093(0.082,0.104) 3.2e-02 1.84e-02  0.071(0.061,0.081) 2.4e-02 9.16e-03  0.049(0.041,0.058) 1.8e-02 4.55e-03  0.036(0.029,0.043) 1.2e-02 2.29e-03 
  M-ours-gmm32        0.264(0.248,0.282) 9.8e-02 1.09e-01  0.082(0.072,0.094) 3.1e-02 5.59e-02  0.030(0.024,0.037) 1.1e-02 2.92e-02  0.017(0.013,0.023) 6.5e-03 1.53e-02  0.009(0.006,0.013) 3.9e-03 7.83e-03  0.009(0.006,0.014) 3.5e-03 4.02e-03  0.005(0.003,0.009) 2.3e-03 2.08e-03 
  M-ours-bstar        0.238(0.222,0.255) 8.9e-02 9.48e-02  0.068(0.058,0.078) 2.6e-02 4.79e-02  0.021(0.016,0.027) 7.8e-03 2.61e-02  0.013(0.009,0.018) 4.6e-03 1.38e-02  0.008(0.005,0.013) 3.3e-03 7.20e-03  0.006(0.004,0.010) 2.3e-03 3.79e-03  0.003(0.002,0.006) 1.5e-03 1.95e-03 
  M-ours-dscore-C-V0  0.595(0.576,0.614) 2.6e-01 1.55e-01  0.788(0.772,0.804) 3.6e-01 1.89e-01  0.949(0.940,0.957) 4.4e-01 1.03e+00  0.958(0.949,0.965) 4.5e-01 2.25e+00  0.918(0.906,0.928) 4.3e-01 1.78e+00  0.831(0.816,0.845) 3.7e-01 8.03e-01  0.620(0.601,0.639) 2.7e-01 3.70e-01 
  M-ours-dscore-C-V1  0.146(0.133,0.160) 5.2e-02 5.45e-02  0.032(0.026,0.039) 1.2e-02 2.56e-02  0.012(0.008,0.017) 4.6e-03 1.27e-02  0.007(0.004,0.011) 2.7e-03 6.25e-03  0.002(0.001,0.005) 6.7e-04 3.11e-03  0.003(0.001,0.006) 1.1e-03 1.62e-03  0.001(0.000,0.003) 5.6e-04 8.77e-04 
  M-ours-dscore-C-V4  0.152(0.138,0.166) 5.3e-02 5.18e-02  0.039(0.032,0.047) 1.4e-02 2.33e-02  0.012(0.009,0.017) 4.4e-03 1.11e-02  0.006(0.004,0.010) 1.8e-03 5.62e-03  0.002(0.001,0.005) 7.5e-04 2.86e-03  0.002(0.001,0.005) 7.5e-04 1.51e-03  0.002(0.001,0.005) 9.7e-04 8.36e-04 
  M-ours-dscore-C-V4b 0.159(0.145,0.173) 5.6e-02 5.61e-02  0.041(0.034,0.049) 1.4e-02 2.46e-02  0.009(0.006,0.013) 3.1e-03 1.18e-02  0.006(0.004,0.010) 1.9e-03 5.95e-03  0.002(0.001,0.005) 6.8e-04 2.98e-03  0.002(0.001,0.005) 7.2e-04 1.59e-03  0.002(0.001,0.005) 7.8e-04 8.69e-04 
  M-ours-bstar-scalar 0.245(0.229,0.262) 9.2e-02 9.44e-02  0.073(0.064,0.084) 2.7e-02 4.76e-02  0.021(0.016,0.027) 7.8e-03 2.58e-02  0.014(0.010,0.019) 4.5e-03 1.36e-02  0.006(0.004,0.010) 2.3e-03 7.06e-03  0.008(0.005,0.012) 2.5e-03 3.69e-03  0.003(0.002,0.006) 1.1e-03 1.90e-03 
  R5-genie              0.034(0.028,0.042) 1.1e-02 nan       0.010(0.007,0.015) 3.8e-03 nan       0.005(0.003,0.008) 1.5e-03 nan       0.004(0.002,0.007) 1.3e-03 nan       0.001(0.000,0.003) 2.8e-04 nan       0.001(0.000,0.003) 1.7e-04 nan       0.001(0.000,0.003) 3.9e-04 nan    

  per-point detail rows (exp_0921 convention M-1: BLER@1/@2/@8/@16, BER@16, NMSE median all / success-only, rescued/lost 2->16, tauL@1, failure-class %):
   SNR -3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.750 0.629 0.489 0.477 [0.458,0.496]  BER@16=1.64e-01  NMSE med@1/@16=0.3181/0.3181 ok=0.3020  resc/lost(2->16)=395/6  tauL@1=1.040  fail% stuck/cyc2/other=31.3/1.6/14.8
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.750 0.602 0.546 0.544 [0.524,0.563]  BER@16=1.92e-01  NMSE med@1/@16=0.3181/0.2011 ok=0.1176  resc/lost(2->16)=150/0  tauL@1=1.040  fail% stuck/cyc2/other=52.7/0.0/1.7
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.750 0.550 0.364 0.327 [0.309,0.346]  BER@16=1.24e-01  NMSE med@1/@16=0.3181/0.1362 ok=0.1188  resc/lost(2->16)=570/1  tauL@1=1.040  fail% stuck/cyc2/other=8.4/6.1/18.2
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.801 0.665 0.557 0.543 [0.524,0.563]  BER@16=2.01e-01  NMSE med@1/@16=0.4004/0.3576 ok=0.2954  resc/lost(2->16)=317/6  tauL@1=1.705  fail% stuck/cyc2/other=41.9/3.4/9.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.759 0.659 0.867 0.867 [0.853,0.879]  BER@16=4.97e-01  NMSE med@1/@16=0.2327/0.3698 ok=0.1195  resc/lost(2->16)=42/573  tauL@1=0.703  fail% stuck/cyc2/other=41.1/43.3/2.3
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.759 0.647 0.607 0.607 [0.588,0.626]  BER@16=2.16e-01  NMSE med@1/@16=0.2327/0.2330 ok=0.1179  resc/lost(2->16)=102/0  tauL@1=0.703  fail% stuck/cyc2/other=58.8/0.6/1.3
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.716 0.480 0.289 0.264 [0.248,0.282]  BER@16=9.76e-02  NMSE med@1/@16=0.2608/0.1092 ok=0.0968  resc/lost(2->16)=552/0  tauL@1=1.174  fail% stuck/cyc2/other=6.6/4.0/15.8
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.720 0.452 0.262 0.238 [0.222,0.255]  BER@16=8.88e-02  NMSE med@1/@16=0.2286/0.0948 ok=0.0849  resc/lost(2->16)=548/1  tauL@1=1.425  fail% stuck/cyc2/other=8.4/3.0/12.3
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.686 0.621 0.630 0.595 [0.576,0.614]  BER@16=2.62e-01  NMSE med@1/@16=0.2246/0.1554 ok=0.0647  resc/lost(2->16)=325/260  tauL@1=1.061  fail% stuck/cyc2/other=2.7/4.5/52.3
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.571 0.315 0.167 0.146 [0.133,0.160]  BER@16=5.23e-02  NMSE med@1/@16=0.1688/0.0545 ok=0.0493  resc/lost(2->16)=433/0  tauL@1=1.232  fail% stuck/cyc2/other=4.1/1.9/8.6
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.559 0.313 0.175 0.152 [0.138,0.166]  BER@16=5.34e-02  NMSE med@1/@16=0.1663/0.0518 ok=0.0468  resc/lost(2->16)=413/0  tauL@1=1.159  fail% stuck/cyc2/other=5.8/1.1/8.2
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.559 0.325 0.182 0.159 [0.145,0.173]  BER@16=5.63e-02  NMSE med@1/@16=0.1663/0.0561 ok=0.0501  resc/lost(2->16)=427/0  tauL@1=1.159  fail% stuck/cyc2/other=5.5/1.2/9.1
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.709 0.457 0.271 0.245 [0.229,0.262]  BER@16=9.17e-02  NMSE med@1/@16=0.2281/0.0944 ok=0.0844  resc/lost(2->16)=544/1  tauL@1=1.300  fail% stuck/cyc2/other=10.8/2.5/11.3
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.225 0.102 0.043 0.034 [0.028,0.042]  BER@16=1.14e-02  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=175/0  tauL@1=0.771  fail% stuck/cyc2/other=1.4/0.2/1.8
   SNR +0 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.388 0.242 0.151 0.132 [0.119,0.146]  BER@16=4.70e-02  NMSE med@1/@16=0.1923/0.1923 ok=0.1909  resc/lost(2->16)=281/0  tauL@1=0.623  fail% stuck/cyc2/other=3.1/1.0/9.1
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.388 0.266 0.216 0.212 [0.197,0.229]  BER@16=7.20e-02  NMSE med@1/@16=0.1923/0.0714 ok=0.0656  resc/lost(2->16)=137/0  tauL@1=0.623  fail% stuck/cyc2/other=19.1/0.0/2.1
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.388 0.215 0.116 0.102 [0.091,0.114]  BER@16=3.88e-02  NMSE med@1/@16=0.1923/0.0681 ok=0.0658  resc/lost(2->16)=290/0  tauL@1=0.623  fail% stuck/cyc2/other=2.0/2.0/6.2
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.411 0.286 0.218 0.211 [0.195,0.227]  BER@16=8.04e-02  NMSE med@1/@16=0.2367/0.1655 ok=0.1570  resc/lost(2->16)=194/0  tauL@1=0.576  fail% stuck/cyc2/other=9.7/1.5/9.8
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.444 0.340 0.836 0.836 [0.821,0.849]  BER@16=6.48e-01  NMSE med@1/@16=0.0879/1.4142 ok=0.0651  resc/lost(2->16)=40/1308  tauL@1=0.409  fail% stuck/cyc2/other=11.3/68.1/4.1
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.444 0.339 0.307 0.305 [0.288,0.323]  BER@16=1.06e-01  NMSE med@1/@16=0.0879/0.0750 ok=0.0656  resc/lost(2->16)=87/0  tauL@1=0.409  fail% stuck/cyc2/other=28.2/0.8/1.5
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.359 0.193 0.097 0.082 [0.072,0.094]  BER@16=3.06e-02  NMSE med@1/@16=0.1547/0.0559 ok=0.0542  resc/lost(2->16)=284/0  tauL@1=0.721  fail% stuck/cyc2/other=1.9/1.1/5.3
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.341 0.161 0.078 0.068 [0.058,0.078]  BER@16=2.56e-02  NMSE med@1/@16=0.1334/0.0479 ok=0.0468  resc/lost(2->16)=240/0  tauL@1=0.894  fail% stuck/cyc2/other=1.8/0.8/4.1
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.352 0.781 0.825 0.788 [0.772,0.804]  BER@16=3.60e-01  NMSE med@1/@16=0.1077/0.1886 ok=0.0557  resc/lost(2->16)=199/217  tauL@1=0.675  fail% stuck/cyc2/other=0.3/5.9/72.7
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.241 0.105 0.040 0.032 [0.026,0.039]  BER@16=1.20e-02  NMSE med@1/@16=0.0891/0.0256 ok=0.0249  resc/lost(2->16)=187/0  tauL@1=0.771  fail% stuck/cyc2/other=1.0/0.2/2.0
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.239 0.107 0.043 0.039 [0.032,0.047]  BER@16=1.42e-02  NMSE med@1/@16=0.0870/0.0233 ok=0.0225  resc/lost(2->16)=175/0  tauL@1=0.725  fail% stuck/cyc2/other=1.5/0.2/2.1
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.239 0.110 0.047 0.041 [0.034,0.049]  BER@16=1.37e-02  NMSE med@1/@16=0.0870/0.0246 ok=0.0241  resc/lost(2->16)=176/0  tauL@1=0.725  fail% stuck/cyc2/other=1.9/0.4/1.8
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.332 0.161 0.084 0.073 [0.064,0.084]  BER@16=2.68e-02  NMSE med@1/@16=0.1332/0.0476 ok=0.0464  resc/lost(2->16)=223/0  tauL@1=0.811  fail% stuck/cyc2/other=3.1/0.5/3.7
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.095 0.038 0.013 0.010 [0.007,0.015]  BER@16=3.84e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=72/0  tauL@1=0.527  fail% stuck/cyc2/other=0.4/0.1/0.6
   SNR +3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.180 0.100 0.050 0.043 [0.036,0.052]  BER@16=1.65e-02  NMSE med@1/@16=0.1090/0.1090 ok=0.1088  resc/lost(2->16)=147/0  tauL@1=0.399  fail% stuck/cyc2/other=0.8/0.5/3.0
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.180 0.105 0.081 0.080 [0.070,0.091]  BER@16=2.80e-02  NMSE med@1/@16=0.1090/0.0355 ok=0.0345  resc/lost(2->16)=64/0  tauL@1=0.399  fail% stuck/cyc2/other=6.5/0.0/1.4
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.180 0.088 0.047 0.040 [0.033,0.048]  BER@16=1.50e-02  NMSE med@1/@16=0.1090/0.0350 ok=0.0345  resc/lost(2->16)=123/0  tauL@1=0.399  fail% stuck/cyc2/other=1.0/0.5/2.5
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.196 0.133 0.091 0.080 [0.070,0.091]  BER@16=3.13e-02  NMSE med@1/@16=0.1255/0.0740 ok=0.0725  resc/lost(2->16)=135/0  tauL@1=0.277  fail% stuck/cyc2/other=2.3/0.6/5.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.242 0.155 0.598 0.596 [0.577,0.615]  BER@16=5.15e-01  NMSE med@1/@16=0.0388/1.1794 ok=0.0348  resc/lost(2->16)=47/1176  tauL@1=0.258  fail% stuck/cyc2/other=2.0/54.6/2.9
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.242 0.171 0.148 0.146 [0.133,0.161]  BER@16=5.10e-02  NMSE med@1/@16=0.0388/0.0364 ok=0.0346  resc/lost(2->16)=63/1  tauL@1=0.258  fail% stuck/cyc2/other=12.5/0.9/1.2
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.153 0.072 0.036 0.030 [0.024,0.037]  BER@16=1.15e-02  NMSE med@1/@16=0.0888/0.0292 ok=0.0288  resc/lost(2->16)=109/0  tauL@1=0.463  fail% stuck/cyc2/other=0.5/0.7/1.7
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.129 0.052 0.023 0.021 [0.016,0.027]  BER@16=7.80e-03  NMSE med@1/@16=0.0763/0.0261 ok=0.0258  resc/lost(2->16)=80/0  tauL@1=0.560  fail% stuck/cyc2/other=0.6/0.4/1.1
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.501 0.936 0.973 0.949 [0.940,0.957]  BER@16=4.44e-01  NMSE med@1/@16=0.2217/1.0289 ok=0.2086  resc/lost(2->16)=92/127  tauL@1=0.200  fail% stuck/cyc2/other=0.2/8.5/86.2
