# date        : 2026-09-22 17:05:52 KST
# git commit  : 4e06d15
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# arm list with per-arm notes (06_SPEC §5):
#   R3-bigamp     : BiG-AMP prior: i.i.d. CN(0,1/Nr) -- correlated prior not supported by Table III (structural limitation)
#   R4-llr        : same, Module B mode='llr' (the paper's 'LLR Turbo' ablation)
#   R4-scvamp     : channel estimation = classical APP-LMMSE (no LOO); only the Onsager extrinsic interface follows arXiv:2604.19061
#   R0-pilot      : 1-PASS arm -- reported at iteration index 0 ('R0-pilot (@1)'); 'pilot_C (@16)' is the
#                   SAME receiver's 16-iteration trajectory, printed for context only.
#   M-ours-*      : differ from R2-ours-G in Module H and nothing else (test M2); Module H, K and the clip
#                   rule are in the run header of conf/results/ and in the raw meta of each point.
# fit/training cost (GMM EM wall-clock) is a column of table A and is never left blank.
# aggregates KEEP failed and diverged blocks; where a subset mean is printed, the full-set mean is beside it.
# Stage C arms present in this run (10_SPEC §3b / §3c) -- the pre-registered Stage A/B verdicts are
# UNCHANGED by this file and M-ours-dscore stays BLOCKED in the pre-registered table:
#   M-ours-dscore-C-V0  : Stage C V0 (PRIMARY) -- learned prior at N', D-14 MATRIX site, pre-registered score wiring, unchanged
#   M-ours-dscore-C-V1  : Stage C V1 -- V0 + (F1) symmetric-PSD projection of the D-14 site (ScorePrior(psd_project=True))
#   M-ours-dscore-C-V4  : Stage C V4 -- D-14 matrix site REPLACED by the D-13 belief scalarisation (hsite=scalar, scal=belief); POST-HOC registered, observed in the H4 diagnostic BEFORE registration (10_SPEC §3c)
#   M-ours-dscore-C-V4b : Stage C V4b -- as V4 but scal=site instead of scal=belief (10_SPEC §3c, "동일하되 scal=site. 부수 보고용"); registered with V4, wired only on 2026-09-21 after an audit found it had been dropped
#   M-ours-bstar-scalar : Stage C CONTROL (10_SPEC §3c, MANDATORY) -- the b* GMM through V4's EXACT wiring: if scalarisation also helps the GMM, the gain belongs to the SITE, not to the learned prior
# 
# training budget (N_train, channel samples) of EVERY arm -- 10_SPEC A3.  The GMM arms and the learned arms are only equal-budget when their N_train below are EQUAL; read the numbers, not the arm names.  The GMM re-fit at N'=1.6e5 may not have finished when this table was written.
# per-arm training budget (arms absent from the raw files are simply not listed):
#   R0-pilot            : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R1-turbo            : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R2-ours-G           : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R3-bigamp           : N_train=0 -- i.i.d. CN(0,1/Nr) prior, fits nothing
#   R4-llr              : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R4-scvamp           : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-gmm32        : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-bstar        : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   M-ours-dscore-C-V0  : N_train=40000  rung=D2SX40000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt  gate: NO GATE RECORD mentions d2sx_N40000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V1  : N_train=40000  rung=D2SX40000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt  gate: NO GATE RECORD mentions d2sx_N40000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4  : N_train=40000  rung=D2SX40000  ckpt=/home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt  gate: NO GATE RECORD mentions d2sx_N40000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   M-ours-dscore-C-V4b : N_train=40000 -- unclassified arm, quoting the point's channel-set size
#   M-ours-bstar-scalar : N_train=40000 -- the ONE channel set (GMM EM fit / its sample covariance Chat)
#   R5-genie            : N_train=n/a -- genie: the true H is given
#   dscore_status       : ABSENT -- no GATE-PASSING checkpoint (04_SPEC §5 gates GA-GD): no gate-passing checkpoint for D2; recorded PASS rows: none (searched conf/results/gate_D2.txt and LADDER.md)
#   stagec_ckpt         : /home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt
#   stagec_gate         : NO GATE RECORD mentions d2sx_N40000_a1.pt -- UNVERIFIED here.  (GA-GD are measurable on D1 only, 10_SPEC §5: a D2 re-train is qualified by its D1 sibling's gate row, which this string cannot prove.)
#   stagec_status       : built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none) | V1 (psd_project=True): built from explicit ckpt /home/HTJ/t2/conf/ckpt/d2sx_N40000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
# cell C2: 8x4 T=16 Tp=4 prior S2  SNR grid ['-3', '+0', '+3', '+6', '+9', '+12', '+15'] dB  n=2560 per point  outer iterations=16  b*=kron
#   run params as recorded in the raw file: beta=0.7  dtype=complex128/float64  iters=16  n=40  seed=20260926  skip=0  snr=-3.0  t_in=5
# ====================================================================================================
# CLAIM TESTBED -- sparse specular; conditional Gaussianity broken (see T2d). Upper bound = genie only.
# ====================================================================================================

============================== TABLE A -- per-cell arm comparison (08_SPEC §1) ==============================
cell entry = BLER (95% Wilson CI) / BER / NMSE_H  at the arm's reporting iteration
reporting iteration: @16 for every arm except R0-pilot, which is the 1-PASS arm and is read @1;
'pilot_C (@16)' is the SAME receiver's 16-iteration trajectory, printed for context only.

--- cell C2 (8x4, T=16, Tp=4, K=42)  prior S2  testbed D2   n per SNR: [2560, 2560, 2560, 2560, 2560, 2560, 2560]   b* = kron
  arms absent from the raw files (see 01_RULES §6 -- BLOCKED / FAILED-VERIFICATION): ['M-ours-dscore']
  arm                              SNR -3 dB                            SNR +0 dB                            SNR +3 dB                            SNR +6 dB                            SNR +9 dB                            SNR +12 dB                           SNR +15 dB             
  R0-pilot (@1)       0.750(0.733,0.766) 2.3e-01 3.19e-01  0.389(0.370,0.408) 1.1e-01 1.92e-01  0.181(0.166,0.196) 5.0e-02 1.09e-01  0.101(0.090,0.113) 2.7e-02 5.83e-02  0.064(0.056,0.075) 1.7e-02 3.00e-02  0.047(0.039,0.056) 1.3e-02 1.53e-02  0.036(0.030,0.044) 9.1e-03 7.78e-03 
  pilot_C (@16)       0.478(0.459,0.497) 1.6e-01 3.19e-01  0.131(0.119,0.145) 4.6e-02 1.92e-01  0.041(0.034,0.050) 1.6e-02 1.09e-01  0.025(0.020,0.032) 9.8e-03 5.83e-02  0.013(0.010,0.019) 4.8e-03 3.00e-02  0.012(0.009,0.017) 4.6e-03 1.53e-02  0.005(0.003,0.009) 2.2e-03 7.78e-03 
  R1-turbo            0.543(0.524,0.563) 1.9e-01 2.01e-01  0.212(0.197,0.228) 7.2e-02 7.14e-02  0.081(0.071,0.092) 2.9e-02 3.55e-02  0.040(0.033,0.048) 1.5e-02 1.81e-02  0.024(0.019,0.031) 9.1e-03 9.01e-03  0.017(0.013,0.023) 6.7e-03 4.51e-03  0.008(0.005,0.013) 3.3e-03 2.27e-03 
  R2-ours-G           0.327(0.309,0.345) 1.2e-01 1.37e-01  0.102(0.091,0.115) 3.9e-02 6.81e-02  0.038(0.032,0.046) 1.5e-02 3.49e-02  0.023(0.018,0.029) 9.7e-03 1.80e-02  0.011(0.008,0.016) 4.0e-03 8.95e-03  0.011(0.008,0.016) 5.0e-03 4.50e-03  0.006(0.004,0.010) 2.6e-03 2.27e-03 
  R3-bigamp           0.543(0.524,0.563) 2.0e-01 3.58e-01  0.211(0.195,0.227) 8.0e-02 1.66e-01  0.080(0.070,0.091) 3.1e-02 7.40e-02  0.053(0.045,0.062) 2.2e-02 3.13e-02  0.051(0.043,0.060) 2.1e-02 1.29e-02  0.057(0.049,0.067) 2.5e-02 5.67e-03  0.055(0.047,0.065) 2.5e-02 2.62e-03 
  R4-llr              0.870(0.857,0.883) 5.0e-01 3.72e-01  0.836(0.821,0.849) 6.5e-01 1.41e+00  0.595(0.576,0.614) 5.1e-01 1.18e+00  0.401(0.382,0.420) 3.5e-01 2.23e-02  0.275(0.258,0.293) 2.4e-01 1.01e-02  0.196(0.182,0.212) 1.7e-01 4.85e-03  0.170(0.155,0.185) 1.5e-01 2.42e-03 
  R4-scvamp           0.610(0.591,0.628) 2.2e-01 2.35e-01  0.308(0.290,0.326) 1.1e-01 7.51e-02  0.150(0.137,0.164) 5.2e-02 3.65e-02  0.096(0.085,0.108) 3.2e-02 1.85e-02  0.070(0.061,0.080) 2.3e-02 9.15e-03  0.048(0.040,0.057) 1.7e-02 4.55e-03  0.037(0.030,0.045) 1.2e-02 2.29e-03 
  M-ours-gmm32        0.267(0.250,0.284) 1.0e-01 1.09e-01  0.086(0.076,0.098) 3.2e-02 5.65e-02  0.027(0.021,0.034) 1.0e-02 2.94e-02  0.017(0.012,0.023) 6.3e-03 1.54e-02  0.009(0.006,0.014) 4.2e-03 7.82e-03  0.010(0.007,0.014) 3.1e-03 4.08e-03  0.005(0.003,0.008) 1.9e-03 2.08e-03 
  M-ours-bstar        0.250(0.234,0.267) 9.5e-02 9.93e-02  0.073(0.064,0.084) 2.7e-02 5.14e-02  0.021(0.016,0.027) 7.8e-03 2.74e-02  0.013(0.010,0.019) 5.0e-03 1.47e-02  0.009(0.006,0.014) 3.3e-03 7.48e-03  0.007(0.005,0.012) 2.9e-03 3.92e-03  0.004(0.002,0.008) 1.9e-03 2.02e-03 
  M-ours-dscore-C-V0  0.741(0.724,0.758) 3.4e-01 2.33e-01  0.828(0.813,0.842) 3.8e-01 4.71e-01  0.936(0.926,0.945) 4.3e-01 1.29e+00  0.893(0.881,0.905) 4.2e-01 1.54e+00  0.807(0.792,0.822) 3.6e-01 8.11e-01  0.666(0.647,0.684) 2.9e-01 4.85e-01  0.362(0.344,0.381) 1.5e-01 9.21e-02 
  M-ours-dscore-C-V1  0.145(0.131,0.159) 5.2e-02 5.40e-02  0.033(0.027,0.041) 1.2e-02 2.54e-02  0.009(0.006,0.014) 3.7e-03 1.27e-02  0.007(0.004,0.011) 2.2e-03 6.55e-03  0.003(0.002,0.006) 1.2e-03 3.40e-03  0.003(0.002,0.006) 1.1e-03 1.82e-03  0.002(0.001,0.004) 6.4e-04 9.88e-04 
  M-ours-dscore-C-V4  0.154(0.141,0.169) 5.4e-02 5.26e-02  0.039(0.032,0.047) 1.3e-02 2.41e-02  0.009(0.006,0.014) 3.8e-03 1.19e-02  0.007(0.004,0.011) 2.3e-03 6.23e-03  0.003(0.001,0.006) 9.1e-04 3.23e-03  0.004(0.002,0.007) 1.0e-03 1.73e-03  0.002(0.001,0.005) 6.8e-04 9.48e-04 
  M-ours-dscore-C-V4b 0.156(0.142,0.170) 5.6e-02 5.66e-02  0.042(0.035,0.050) 1.5e-02 2.54e-02  0.011(0.008,0.016) 3.9e-03 1.25e-02  0.007(0.004,0.011) 2.1e-03 6.48e-03  0.002(0.001,0.005) 8.6e-04 3.33e-03  0.004(0.002,0.008) 1.2e-03 1.81e-03  0.002(0.001,0.005) 7.2e-04 9.80e-04 
  M-ours-bstar-scalar 0.261(0.244,0.278) 9.7e-02 1.01e-01  0.073(0.064,0.084) 2.7e-02 5.08e-02  0.024(0.019,0.031) 8.9e-03 2.72e-02  0.017(0.013,0.023) 6.6e-03 1.45e-02  0.011(0.007,0.015) 4.0e-03 7.37e-03  0.009(0.006,0.013) 3.3e-03 3.83e-03  0.005(0.003,0.009) 2.1e-03 1.97e-03 
  R5-genie              0.034(0.028,0.042) 1.1e-02 nan       0.010(0.007,0.015) 3.8e-03 nan       0.005(0.003,0.008) 1.5e-03 nan       0.004(0.002,0.007) 1.3e-03 nan       0.001(0.000,0.003) 2.8e-04 nan       0.001(0.000,0.003) 1.7e-04 nan       0.001(0.000,0.003) 3.9e-04 nan    

  per-point detail rows (exp_0921 convention M-1: BLER@1/@2/@8/@16, BER@16, NMSE median all / success-only, rescued/lost 2->16, tauL@1, failure-class %):
   SNR -3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.750 0.628 0.490 0.478 [0.459,0.497]  BER@16=1.64e-01  NMSE med@1/@16=0.3187/0.3187 ok=0.3025  resc/lost(2->16)=391/7  tauL@1=1.041  fail% stuck/cyc2/other=30.7/1.6/15.5
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.750 0.602 0.545 0.543 [0.524,0.563]  BER@16=1.91e-01  NMSE med@1/@16=0.3187/0.2006 ok=0.1176  resc/lost(2->16)=150/0  tauL@1=1.041  fail% stuck/cyc2/other=52.7/0.0/1.6
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.750 0.550 0.362 0.327 [0.309,0.345]  BER@16=1.24e-01  NMSE med@1/@16=0.3187/0.1368 ok=0.1188  resc/lost(2->16)=573/1  tauL@1=1.041  fail% stuck/cyc2/other=8.6/6.0/18.1
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.801 0.665 0.557 0.543 [0.524,0.563]  BER@16=2.01e-01  NMSE med@1/@16=0.4004/0.3576 ok=0.2954  resc/lost(2->16)=317/6  tauL@1=1.705  fail% stuck/cyc2/other=41.9/3.4/9.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.758 0.662 0.870 0.870 [0.857,0.883]  BER@16=4.99e-01  NMSE med@1/@16=0.2330/0.3724 ok=0.1197  resc/lost(2->16)=41/573  tauL@1=0.702  fail% stuck/cyc2/other=41.6/43.5/2.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.758 0.650 0.610 0.610 [0.591,0.628]  BER@16=2.17e-01  NMSE med@1/@16=0.2330/0.2345 ok=0.1177  resc/lost(2->16)=102/0  tauL@1=0.702  fail% stuck/cyc2/other=58.7/0.4/1.9
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.719 0.495 0.296 0.267 [0.250,0.284]  BER@16=1.02e-01  NMSE med@1/@16=0.2617/0.1093 ok=0.0976  resc/lost(2->16)=586/3  tauL@1=1.182  fail% stuck/cyc2/other=7.0/3.7/16.1
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.720 0.466 0.275 0.250 [0.234,0.267]  BER@16=9.49e-02  NMSE med@1/@16=0.2344/0.0993 ok=0.0884  resc/lost(2->16)=554/1  tauL@1=1.408  fail% stuck/cyc2/other=7.8/3.2/14.1
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.676 0.752 0.766 0.741 [0.724,0.758]  BER@16=3.38e-01  NMSE med@1/@16=0.2191/0.2332 ok=0.0686  resc/lost(2->16)=231/204  tauL@1=1.075  fail% stuck/cyc2/other=1.3/4.9/67.9
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.570 0.319 0.171 0.145 [0.131,0.159]  BER@16=5.24e-02  NMSE med@1/@16=0.1688/0.0540 ok=0.0495  resc/lost(2->16)=447/0  tauL@1=1.232  fail% stuck/cyc2/other=4.3/1.5/8.7
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.564 0.323 0.173 0.154 [0.141,0.169]  BER@16=5.42e-02  NMSE med@1/@16=0.1682/0.0526 ok=0.0476  resc/lost(2->16)=431/0  tauL@1=1.162  fail% stuck/cyc2/other=6.5/1.0/7.9
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.564 0.330 0.180 0.156 [0.142,0.170]  BER@16=5.64e-02  NMSE med@1/@16=0.1682/0.0566 ok=0.0509  resc/lost(2->16)=447/1  tauL@1=1.162  fail% stuck/cyc2/other=5.7/1.2/8.7
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.715 0.473 0.286 0.261 [0.244,0.278]  BER@16=9.72e-02  NMSE med@1/@16=0.2357/0.1006 ok=0.0892  resc/lost(2->16)=545/1  tauL@1=1.281  fail% stuck/cyc2/other=10.8/2.8/12.5
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.225 0.102 0.043 0.034 [0.028,0.042]  BER@16=1.14e-02  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=175/0  tauL@1=0.771  fail% stuck/cyc2/other=1.4/0.2/1.8
   SNR +0 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.389 0.242 0.149 0.131 [0.119,0.145]  BER@16=4.65e-02  NMSE med@1/@16=0.1925/0.1925 ok=0.1908  resc/lost(2->16)=284/0  tauL@1=0.623  fail% stuck/cyc2/other=3.0/0.7/9.5
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.389 0.265 0.217 0.212 [0.197,0.228]  BER@16=7.18e-02  NMSE med@1/@16=0.1925/0.0714 ok=0.0657  resc/lost(2->16)=135/0  tauL@1=0.623  fail% stuck/cyc2/other=19.0/0.0/2.2
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.389 0.216 0.116 0.102 [0.091,0.115]  BER@16=3.89e-02  NMSE med@1/@16=0.1925/0.0681 ok=0.0658  resc/lost(2->16)=290/0  tauL@1=0.623  fail% stuck/cyc2/other=2.0/2.1/6.2
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.411 0.286 0.218 0.211 [0.195,0.227]  BER@16=8.04e-02  NMSE med@1/@16=0.2367/0.1655 ok=0.1570  resc/lost(2->16)=194/0  tauL@1=0.576  fail% stuck/cyc2/other=9.7/1.5/9.8
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.444 0.339 0.836 0.836 [0.821,0.849]  BER@16=6.48e-01  NMSE med@1/@16=0.0877/1.4147 ok=0.0650  resc/lost(2->16)=38/1308  tauL@1=0.409  fail% stuck/cyc2/other=11.7/67.9/4.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.444 0.339 0.309 0.308 [0.290,0.326]  BER@16=1.07e-01  NMSE med@1/@16=0.0877/0.0751 ok=0.0656  resc/lost(2->16)=79/0  tauL@1=0.409  fail% stuck/cyc2/other=28.7/1.0/1.1
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.357 0.191 0.098 0.086 [0.076,0.098]  BER@16=3.23e-02  NMSE med@1/@16=0.1561/0.0565 ok=0.0546  resc/lost(2->16)=268/0  tauL@1=0.728  fail% stuck/cyc2/other=2.1/1.1/5.5
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.342 0.166 0.084 0.073 [0.064,0.084]  BER@16=2.67e-02  NMSE med@1/@16=0.1386/0.0514 ok=0.0496  resc/lost(2->16)=240/1  tauL@1=0.866  fail% stuck/cyc2/other=1.6/1.1/4.6
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.570 0.793 0.857 0.828 [0.813,0.842]  BER@16=3.81e-01  NMSE med@1/@16=0.3283/0.4707 ok=0.0610  resc/lost(2->16)=162/253  tauL@1=0.381  fail% stuck/cyc2/other=0.4/7.3/75.1
    M-ours-dscore-C-V1   n=2560 BLER@1/@2/@8/@16 = 0.243 0.111 0.042 0.033 [0.027,0.041]  BER@16=1.21e-02  NMSE med@1/@16=0.0903/0.0254 ok=0.0248  resc/lost(2->16)=198/0  tauL@1=0.763  fail% stuck/cyc2/other=0.7/0.5/2.1
    M-ours-dscore-C-V4   n=2560 BLER@1/@2/@8/@16 = 0.241 0.109 0.044 0.039 [0.032,0.047]  BER@16=1.33e-02  NMSE med@1/@16=0.0883/0.0241 ok=0.0233  resc/lost(2->16)=181/0  tauL@1=0.718  fail% stuck/cyc2/other=2.0/0.4/1.5
    M-ours-dscore-C-V4b  n=2560 BLER@1/@2/@8/@16 = 0.241 0.113 0.050 0.042 [0.035,0.050]  BER@16=1.51e-02  NMSE med@1/@16=0.0883/0.0254 ok=0.0246  resc/lost(2->16)=181/0  tauL@1=0.718  fail% stuck/cyc2/other=1.9/0.4/1.9
    M-ours-bstar-scalar  n=2560 BLER@1/@2/@8/@16 = 0.343 0.173 0.088 0.073 [0.064,0.084]  BER@16=2.72e-02  NMSE med@1/@16=0.1397/0.0508 ok=0.0495  resc/lost(2->16)=255/0  tauL@1=0.797  fail% stuck/cyc2/other=2.9/0.6/3.8
    R5-genie             n=2560 BLER@1/@2/@8/@16 = 0.095 0.038 0.013 0.010 [0.007,0.015]  BER@16=3.84e-03  NMSE med@1/@16=nan/nan ok=nan  resc/lost(2->16)=72/0  tauL@1=0.527  fail% stuck/cyc2/other=0.4/0.1/0.6
   SNR +3 dB
    R0-pilot             n=2560 BLER@1/@2/@8/@16 = 0.181 0.100 0.050 0.041 [0.034,0.050]  BER@16=1.58e-02  NMSE med@1/@16=0.1090/0.1090 ok=0.1088  resc/lost(2->16)=151/0  tauL@1=0.399  fail% stuck/cyc2/other=0.8/0.6/2.7
    R1-turbo             n=2560 BLER@1/@2/@8/@16 = 0.181 0.105 0.082 0.081 [0.071,0.092]  BER@16=2.86e-02  NMSE med@1/@16=0.1090/0.0355 ok=0.0345  resc/lost(2->16)=63/0  tauL@1=0.399  fail% stuck/cyc2/other=6.5/0.0/1.6
    R2-ours-G            n=2560 BLER@1/@2/@8/@16 = 0.181 0.088 0.045 0.038 [0.032,0.046]  BER@16=1.46e-02  NMSE med@1/@16=0.1090/0.0349 ok=0.0346  resc/lost(2->16)=127/0  tauL@1=0.399  fail% stuck/cyc2/other=0.9/0.5/2.3
    R3-bigamp            n=2560 BLER@1/@2/@8/@16 = 0.196 0.133 0.091 0.080 [0.070,0.091]  BER@16=3.13e-02  NMSE med@1/@16=0.1255/0.0740 ok=0.0725  resc/lost(2->16)=135/0  tauL@1=0.277  fail% stuck/cyc2/other=2.3/0.6/5.1
    R4-llr               n=2560 BLER@1/@2/@8/@16 = 0.241 0.156 0.597 0.595 [0.576,0.614]  BER@16=5.15e-01  NMSE med@1/@16=0.0388/1.1816 ok=0.0349  resc/lost(2->16)=51/1176  tauL@1=0.258  fail% stuck/cyc2/other=2.0/54.6/3.0
    R4-scvamp            n=2560 BLER@1/@2/@8/@16 = 0.241 0.171 0.150 0.150 [0.137,0.164]  BER@16=5.20e-02  NMSE med@1/@16=0.0388/0.0365 ok=0.0346  resc/lost(2->16)=54/1  tauL@1=0.258  fail% stuck/cyc2/other=12.5/1.0/1.5
    M-ours-gmm32         n=2560 BLER@1/@2/@8/@16 = 0.154 0.074 0.034 0.027 [0.021,0.034]  BER@16=1.03e-02  NMSE med@1/@16=0.0884/0.0294 ok=0.0291  resc/lost(2->16)=120/0  tauL@1=0.468  fail% stuck/cyc2/other=0.5/0.5/1.7
    M-ours-bstar         n=2560 BLER@1/@2/@8/@16 = 0.142 0.059 0.023 0.021 [0.016,0.027]  BER@16=7.81e-03  NMSE med@1/@16=0.0797/0.0274 ok=0.0271  resc/lost(2->16)=97/0  tauL@1=0.554  fail% stuck/cyc2/other=0.5/0.3/1.2
    M-ours-dscore-C-V0   n=2560 BLER@1/@2/@8/@16 = 0.609 0.886 0.957 0.936 [0.926,0.945]  BER@16=4.35e-01  NMSE med@1/@16=3.3063/1.2899 ok=0.2697  resc/lost(2->16)=102/229  tauL@1=0.065  fail% stuck/cyc2/other=0.3/7.0/86.3
